HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-11-02 15:16:38.506,2015-11-02 15:16:37.964,2015-11-02 15:16:38.497,Reclining,l13011419151518,2015-11-02 15:16:37.964,,
2015-11-02 15:16:38.767,2015-11-02 15:16:38.510,2015-11-02 15:16:38.763,Jog/Running,l13011419151518,2015-11-02 15:16:38.510,,
2015-11-02 15:16:38.924,2015-11-02 15:16:37.375,2015-11-02 15:16:38.918,Up,l13011419151518,2015-11-02 15:16:37.375,,
2015-11-02 15:16:39.279,2015-11-02 15:16:38.927,2015-11-02 15:16:39.275,300 KPM/Min,l13011419151518,2015-11-02 15:16:38.927,,
2015-11-02 15:16:39.808,2015-11-02 15:16:39.438,2015-11-02 15:16:39.803,300 KPM/Min,l13011419151518,2015-11-02 15:16:39.438,,
2015-11-02 15:16:39.928,2015-11-02 15:16:39.830,2015-11-02 15:16:39.924,2 mph,l13011419151518,2015-11-02 15:16:39.830,,
2015-11-02 15:16:41.647,2015-11-02 15:16:38.916,2015-11-02 15:16:41.643,orientationtest,l13011419151518,2015-11-02 15:16:38.916,,
2015-11-02 15:16:43.361,2015-11-02 15:16:40.683,2015-11-02 15:16:43.348,300 KPM/Min,l13011419151518,2015-11-02 15:16:40.683,,
2015-11-02 15:16:43.928,2015-11-02 15:16:43.365,2015-11-02 15:16:43.923,Up,l13011419151518,2015-11-02 15:16:43.365,,
2015-11-02 15:16:44.725,2015-11-02 15:16:41.650,2015-11-02 15:16:44.720,Sitting,l13011419151518,2015-11-02 15:16:41.650,,
2015-11-02 15:16:45.077,2015-11-02 15:16:44.730,2015-11-02 15:16:45.072,Jog/Running,l13011419151518,2015-11-02 15:16:44.730,,
2015-11-02 15:16:45.906,2015-11-02 15:16:34.966,2015-11-02 15:16:45.897,Outdoors,l13011419151518,2015-11-02 15:16:34.966,,
2015-11-02 15:16:45.923,2015-11-02 15:16:44.718,2015-11-02 15:16:45.916,2 mph,l13011419151518,2015-11-02 15:16:44.718,,
2015-11-02 15:16:48.068,2015-11-02 15:16:45.911,2015-11-02 15:16:48.062,Vending Machine,l13011419151518,2015-11-02 15:16:45.911,,
2015-11-02 15:16:51.359,2015-11-02 15:16:45.928,2015-11-02 15:16:51.355,Up,l13011419151518,2015-11-02 15:16:45.928,,
2015-11-02 15:16:52.191,2015-11-02 15:16:51.806,2015-11-02 15:16:52.187,Walking,l13011419151518,2015-11-02 15:16:51.806,,
2015-11-02 15:16:52.202,2015-11-02 15:16:51.537,2015-11-02 15:16:52.198,Up,l13011419151518,2015-11-02 15:16:51.537,,
2015-11-02 15:16:54.793,2015-11-02 15:16:52.207,2015-11-02 15:16:54.784,1 mph,l13011419151518,2015-11-02 15:16:52.207,,
2015-11-02 15:16:54.913,2015-11-02 15:16:52.195,2015-11-02 15:16:54.909,Reclining,l13011419151518,2015-11-02 15:16:52.195,,
2015-11-02 15:16:54.925,2015-11-02 15:16:54.797,2015-11-02 15:16:54.919,Up,l13011419151518,2015-11-02 15:16:54.797,,
2015-11-02 15:16:55.775,2015-11-02 15:16:55.625,2015-11-02 15:16:55.770,Walking,l13011419151518,2015-11-02 15:16:55.625,,
2015-11-02 15:16:55.784,2015-11-02 15:16:55.596,2015-11-02 15:16:55.781,2 mph,l13011419151518,2015-11-02 15:16:55.596,,
2015-11-02 15:16:55.799,2015-11-02 15:16:55.787,2015-11-02 15:16:55.792,300 KPM/Min,l13011419151518,2015-11-02 15:16:55.787,,
2015-11-02 15:16:56.276,2015-11-02 15:16:55.802,2015-11-02 15:16:56.270,5.5 mph 5%grade,l13011419151518,2015-11-02 15:16:55.802,,
2015-11-02 15:16:57.459,2015-11-02 15:16:56.324,2015-11-02 15:16:57.455,300 KPM/Min,l13011419151518,2015-11-02 15:16:56.324,,
2015-11-02 15:16:57.595,2015-11-02 15:16:55.778,2015-11-02 15:16:57.589,Reclining,l13011419151518,2015-11-02 15:16:55.778,,
2015-11-02 15:16:57.636,2015-11-02 15:16:54.932,2015-11-02 15:16:57.631,Vending Machine,l13011419151518,2015-11-02 15:16:54.932,,
2015-11-02 15:16:57.707,2015-11-02 15:16:57.463,2015-11-02 15:16:57.702,5.5 mph 5%grade,l13011419151518,2015-11-02 15:16:57.463,,
2015-11-02 15:16:59.737,2015-11-02 15:16:58.808,2015-11-02 15:16:59.733,1 mph,l13011419151518,2015-11-02 15:16:58.808,,
2015-11-02 15:17:00.184,2015-11-02 15:16:59.740,2015-11-02 15:17:00.180,2 mph,l13011419151518,2015-11-02 15:16:59.740,,
2015-11-02 15:17:01.444,2015-11-02 15:17:00.188,2015-11-02 15:17:01.439,300 KPM/Min,l13011419151518,2015-11-02 15:17:00.188,,
2015-11-02 15:17:01.970,2015-11-02 15:17:01.704,2015-11-02 15:17:01.967,300 KPM/Min,l13011419151518,2015-11-02 15:17:01.704,,
2015-11-02 15:17:02.859,2015-11-02 15:17:02.017,2015-11-02 15:17:02.852,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:02.017,,
2015-11-02 15:17:02.909,2015-11-02 15:16:30.107,2015-11-02 15:17:02.903,supported,l13011419151518,2015-11-02 15:16:30.107,,
2015-11-02 15:17:10.874,2015-11-02 15:17:03.962,2015-11-02 15:17:10.870,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:03.962,,
2015-11-02 15:17:10.884,2015-11-02 15:17:02.627,2015-11-02 15:17:10.880,Reclining,l13011419151518,2015-11-02 15:17:02.627,,
2015-11-02 15:17:10.898,2015-11-02 15:17:03.960,2015-11-02 15:17:10.895,supported,l13011419151518,2015-11-02 15:17:03.960,,
2015-11-02 15:17:11.351,2015-11-02 15:17:11.320,2015-11-02 15:17:11.346,300 KPM/Min,l13011419151518,2015-11-02 15:17:11.320,,
2015-11-02 15:17:11.934,2015-11-02 15:17:11.356,2015-11-02 15:17:11.925,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:11.356,,
2015-11-02 15:17:12.218,2015-11-02 15:17:11.938,2015-11-02 15:17:12.213,1 mph,l13011419151518,2015-11-02 15:17:11.938,,
2015-11-02 15:17:12.325,2015-11-02 15:17:12.221,2015-11-02 15:17:12.320,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:12.221,,
2015-11-02 15:17:14.317,2015-11-02 15:17:12.317,2015-11-02 15:17:14.311,Reclining,l13011419151518,2015-11-02 15:17:12.317,,
2015-11-02 15:17:14.373,2015-11-02 15:17:12.333,2015-11-02 15:17:14.369,300 KPM/Min,l13011419151518,2015-11-02 15:17:12.333,,
2015-11-02 15:17:14.386,2015-11-02 15:17:14.320,2015-11-02 15:17:14.382,Walking,l13011419151518,2015-11-02 15:17:14.320,,
2015-11-02 15:17:14.678,2015-11-02 15:17:14.650,2015-11-02 15:17:14.672,Up,l13011419151518,2015-11-02 15:17:14.650,,
2015-11-02 15:17:14.692,2015-11-02 15:17:14.389,2015-11-02 15:17:14.688,Reclining,l13011419151518,2015-11-02 15:17:14.389,,
2015-11-02 15:17:14.703,2015-11-02 15:17:14.682,2015-11-02 15:17:14.699,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:14.682,,
2015-11-02 15:17:15.974,2015-11-02 15:17:14.706,2015-11-02 15:17:15.962,300 KPM/Min,l13011419151518,2015-11-02 15:17:14.706,,
2015-11-02 15:17:21.929,2015-11-02 15:17:15.982,2015-11-02 15:17:21.924,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:15.982,,
2015-11-02 15:17:25.291,2015-11-02 15:17:25.284,2015-11-02 15:17:25.286,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:25.284,,
2015-11-02 15:17:26.665,2015-11-02 15:17:25.294,2015-11-02 15:17:26.661,300 KPM/Min,l13011419151518,2015-11-02 15:17:25.294,,
2015-11-02 15:17:27.849,2015-11-02 15:17:26.668,2015-11-02 15:17:27.844,5.5 mph 5%grade,l13011419151518,2015-11-02 15:17:26.668,,
2015-11-02 15:17:28.915,2015-11-02 15:17:27.855,2015-11-02 15:17:28.909,Up,l13011419151518,2015-11-02 15:17:27.855,,
2015-11-02 15:17:30.405,2015-11-02 15:17:28.918,2015-11-02 15:17:30.400,1 mph,l13011419151518,2015-11-02 15:17:28.918,,
2015-11-02 15:17:37.940,2015-11-02 15:17:36.845,2015-11-02 15:17:37.932,300 KPM/Min,l13011419151518,2015-11-02 15:17:36.845,,
2015-11-02 15:17:42.046,2015-11-02 15:17:25.282,2015-11-02 15:17:42.041,Reclining,l13011419151518,2015-11-02 15:17:25.282,,
2015-11-02 15:17:42.057,2015-11-02 15:17:25.298,2015-11-02 15:17:42.041,Stationary,l13011419151518,2015-11-02 15:17:25.298,,
2015-11-02 15:17:42.067,2015-11-02 15:17:39.511,2015-11-02 15:17:42.041,Video Game,l13011419151518,2015-11-02 15:17:39.511,,
